TIMESTAMP,time,RECORD,BattVolt,PanTemp_Avg,IRTC_general_Avg,short_in_Avg,short_out_Avg,long_in_raw_Avg,long_out_raw_Avg,cnr4_T_C_Avg,cnr4_T_K_Avg,long_in_corr_Avg,long_out_corr_Avg,net_short_Avg,net_long_Avg,albedo_Avg,net_rad_Avg,VWC_5_Avg,VWC_15_Avg,VWC_30_Avg,SoilTemp_2_Avg,SoilTemp_7_Avg,SoilTemp_15_Avg
2016-07-18 08:45:00,8.75,1038,12.96,7.052796,6.498034,369.7048,54.01438,-42.84487,-2.966152,8.556824,281.7068,314.2411,354.1198,315.6905,-39.87872,0.1459337,275.8117,0.398,0.384,0.465,6.466,5.874,5.056
2016-07-18 09:00:00,9.00,1039,13.21,8.118613,8.358056,411.4995,66.5433,-64.02766,-2.294441,8.865806,282.0158,294.6295,356.3628,344.9562,-61.73322,0.1616824,283.223,0.397,0.384,0.464,8.34,7.878,7.125
2016-07-18 09:15:00,9.25,1040,13.71,9.026366,10.05501,448.6664,73.22778,-73.86136,-1.46335,10.13442,283.2844,291.2941,363.6921,375.4387,-72.39801,0.163211,303.0407,0.397,0.383,0.464,10.05,9.62,8.94
2016-07-18 09:30:00,9.50,1041,13.98,9.902906,11.66071,488.7586,80.43614,-80.06158,-0.6460242,11.03142,284.1814,289.7406,369.1562,408.3224,-79.41555,0.1645691,328.9069,0.397,0.382,0.463,11.66,11.3,10.67
2016-07-18 09:45:00,9.75,1042,13.95,10.80357,13.357,532.0059,86.30995,-87.96355,-0.9463965,12.36432,285.5143,288.8258,375.843,445.696,-87.01715,0.1622695,358.6788,0.397,0.382,0.46,13.36,13.05,12.49
2016-07-18 10:00:00,10.00,1043,13.94,11.76882,15.08617,578.2725,92.06377,-95.28898,-2.271576,13.05131,286.2013,285.1365,378.1539,486.2087,-93.0174,0.1592053,393.1913,0.397,0.381,0.459,15.1,14.87,14.39
2016-07-18 10:15:00,10.25,1044,13.92,12.5466,16.37115,625.8291,99.35691,-96.50443,0.5939704,13.36812,286.5181,285.6091,382.7075,526.4721,-97.0984,0.1587572,429.3737,0.397,0.38,0.458,16.39,16.28,15.89
2016-07-18 10:30:00,10.50,1045,13.9,13.1932,17.42544,669.1534,106.4139,-95.64649,2.786164,13.82512,286.9751,288.9121,387.3448,562.7394,-98.43266,0.1590178,464.3068,0.397,0.379,0.458,17.44,17.45,17.17
2016-07-18 10:45:00,10.75,1046,13.77,13.79801,18.37525,735.0156,117.5045,-91.15437,5.091325,14.60823,287.7582,297.6187,393.8643,617.511,-96.24568,0.1598462,521.2654,0.397,0.379,0.458,18.39,18.53,18.37
2016-07-18 11:00:00,11.00,1047,13.88,14.50598,19.51372,822.0558,132.104,-85.66417,7.550814,16.07686,289.2268,311.1092,404.3241,689.9518,-93.21497,0.1606791,596.7369,0.397,0.379,0.457,19.52,19.87,19.84
2016-07-18 11:15:00,11.25,1048,13.72,15.34043,20.84656,664.0081,104.642,-88.985,2.222293,16.6617,289.8117,311.0036,402.2109,559.3661,-91.20729,0.1557222,468.1588,0.396,0.378,0.457,20.86,21.35,21.46
2016-07-18 11:30:00,11.50,1049,13.82,15.89853,21.50415,793.5331,125.9385,-88.99513,6.859917,17.07319,290.2232,313.2707,409.1257,667.5945,-95.85505,0.157307,571.7395,0.395,0.378,0.457,21.51,22.21,22.45
2016-07-18 11:45:00,11.75,1050,13.94,17.14894,24.17375,681.6494,105.5181,-86.07781,3.184293,17.87856,291.0285,320.672,409.9341,576.1312,-89.26211,0.1512324,486.8691,0.393,0.378,0.456,24.15,24.98,25.42
2016-07-18 12:00:00,12.00,1051,13.77,17.8765,24.7269,870.5359,137.6791,-90.65699,9.22665,18.18716,291.3372,317.8331,417.7167,732.8569,-99.88364,0.1565064,632.9733,0.393,0.377,0.456,24.73,25.76,26.28
2016-07-18 12:15:00,12.25,1052,13.93,18.22878,25.06404,810.7726,125.5914,-102.4022,4.488815,19.22631,292.3763,311.9342,418.8252,685.1813,-106.891,0.1519636,578.2903,0.393,0.377,0.455,25.06,26.31,26.9
2016-07-18 12:30:00,12.50,1053,13.77,18.44658,25.122,558.7334,84.27768,-93.31649,0.1106124,18.96105,292.111,319.5255,412.9526,474.4557,-93.42711,0.1430817,381.0286,0.393,0.377,0.455,25.12,26.49,27.19
2016-07-18 12:45:00,12.75,1054,13.69,18.19501,24.42299,421.6246,63.97824,-78.76396,0.2793016,16.78458,289.9346,321.9063,400.9495,357.6463,-79.04327,0.1491308,278.6031,0.392,0.376,0.455,24.44,25.67,26.46
2016-07-18 13:00:00,13.00,1055,13.85,17.64637,23.22078,471.7884,73.50455,-71.88796,6.956689,16.6559,289.8059,328.0698,406.9145,398.2838,-78.84465,0.1518193,319.4392,0.392,0.376,0.454,23.24,24.43,25.31
2016-07-18 13:15:00,13.25,1056,13.9,17.35864,22.56854,717.728,113.4295,-68.08942,13.93779,17.69375,290.8437,337.6514,419.6786,604.2985,-82.02722,0.1546877,522.2712,0.391,0.376,0.454,22.58,23.82,24.77
2016-07-18 13:30:00,13.50,1057,13.64,17.4925,22.69731,606.4691,94.1523,-77.89825,5.857691,18.26385,291.4138,331.012,414.7679,512.3168,-83.75594,0.1512122,428.5609,0.391,0.375,0.454,22.71,24.04,25.03
2016-07-18 13:45:00,13.75,1058,13.79,17.60163,22.64734,543.6032,82.05543,-86.84489,4.544601,18.7581,291.9081,324.8496,416.2391,461.5478,-91.38949,0.1460253,370.1583,0.391,0.375,0.453,22.65,24.11,25.16
2016-07-18 14:00:00,14.00,1059,13.73,17.55227,22.19765,619.7448,97.64399,-78.97766,9.454952,18.07207,291.222,328.8562,417.2888,522.1009,-88.43261,0.1545213,433.6682,0.391,0.375,0.453,22.21,23.83,24.93
2016-07-18 14:15:00,14.25,1060,13.98,17.5906,21.72425,775.8417,122.5827,-91.26527,10.27985,20.24753,293.3975,328.8936,430.4388,653.2591,-101.5451,0.153977,551.7139,0.391,0.374,0.453,21.73,23.83,25.01
2016-07-18 14:30:00,14.50,1061,13.65,17.80831,21.66546,593.9744,91.68824,-94.38761,2.724906,20.45382,293.6038,326.9524,424.0649,502.2862,-97.11251,0.1497893,405.1736,0.391,0.374,0.452,21.67,24.08,25.33
2016-07-18 14:45:00,14.75,1062,13.75,17.89739,21.48355,672.8644,108.2369,-87.3034,7.354548,19.59996,292.75,329.1572,423.8152,564.6275,-94.65795,0.1558348,469.9695,0.391,0.374,0.452,21.5,24.03,25.37
2016-07-18 15:00:00,15.00,1063,13.64,18.07204,21.20727,787.6567,126.4059,-90.47742,8.296801,21.79161,294.9416,338.5962,437.3704,661.2507,-98.77422,0.1566497,562.4765,0.39,0.373,0.452,21.21,24.27,25.74
2016-07-18 15:15:00,15.25,1064,13.71,18.48641,22.05351,445.3348,68.71329,-91.11798,-3.680608,20.84714,293.9971,332.4919,419.9294,376.6215,-87.43738,0.1461326,289.1841,0.389,0.373,0.452,22.05,24.93,26.45
2016-07-18 15:30:00,15.50,1065,13.67,18.73424,22.06654,693.8138,113.3691,-102.3841,6.018525,21.27996,294.43,323.7172,432.1198,580.4448,-108.4026,0.1568342,472.0421,0.389,0.373,0.451,22.07,25.22,26.83
2016-07-18 15:45:00,15.75,1066,13.73,19.02797,22.45527,743.5236,124.357,-91.77074,9.170629,21.14397,294.294,333.5487,434.4901,619.1666,-100.9414,0.1619001,518.2253,0.389,0.373,0.451,22.46,25.66,27.32
2016-07-18 16:00:00,16.00,1067,13.74,19.45638,22.95817,660.9278,109.2839,-102.2143,3.683506,22.21456,295.3645,329.3217,435.2195,551.6439,-105.8978,0.1595511,445.7461,0.389,0.372,0.451,22.95,26.41,28.14
2016-07-18 16:15:00,16.25,1068,13.61,19.81249,23.47353,557.9594,93.11932,-98.00394,-0.3484843,21.67868,294.8287,330.4103,428.0658,464.8401,-97.65545,0.1591892,367.1846,0.389,0.371,0.451,23.47,26.89,28.67
2016-07-18 16:30:00,16.50,1069,13.72,20.03013,23.49313,848.9769,149.7859,-97.31522,14.73649,21.95174,295.1017,332.7029,444.7545,699.191,-112.0517,0.1737083,587.1393,0.388,0.369,0.451,23.49,27.17,29.01
2016-07-18 16:45:00,16.75,1070,13.62,20.52246,24.25805,689.6241,120.9906,-109.4229,3.78089,22.97002,296.12,326.5484,439.7522,568.6335,-113.2037,0.1688359,455.4298,0.388,0.369,0.45,24.24,28.06,29.96
2016-07-18 17:00:00,17.00,1071,13.79,21.0094,24.86572,612.2341,107.7452,-115.5206,0.3089222,22.8303,295.9803,319.634,435.4635,504.4889,-115.8295,0.1651347,388.6594,0.388,0.368,0.45,24.85,28.83,30.8
2016-07-18 17:15:00,17.25,1072,13.57,21.10078,25.00713,568.2065,104.8174,-105.0099,2.600193,21.01214,294.1621,319.5464,427.1566,463.3891,-107.6101,0.1735239,355.779,0.388,0.368,0.45,25.01,28.72,30.73
2016-07-18 17:30:00,17.50,1073,13.7,21.00821,24.88941,420.7044,75.92082,-105.0089,-2.55328,20.98986,294.1398,319.417,421.8727,344.7835,-102.4557,0.1747085,242.3279,0.388,0.368,0.45,24.88,28.41,30.47
2016-07-18 17:45:00,17.75,1074,13.64,20.77777,24.61798,350.3065,61.84763,-94.54936,-5.542149,20.10873,293.2587,324.813,413.8202,288.4588,-89.00721,0.1763795,199.4516,0.388,0.368,0.45,24.61,27.79,29.87
2016-07-18 18:00:00,18.00,1075,13.76,20.365,24.19534,285.74,49.7947,-82.65316,-6.208231,18.85057,292.0005,329.5579,406.0028,235.9453,-76.44493,0.1743304,159.5004,0.388,0.367,0.451,24.2,26.89,28.95
2016-07-18 18:15:00,18.25,1076,13.68,19.79213,23.43278,234.4979,40.75541,-77.82406,-6.458008,18.3753,291.5253,331.7086,403.0746,193.7425,-71.36605,0.1736946,122.3764,0.387,0.366,0.451,23.44,25.75,27.77
2016-07-18 18:30:00,18.50,1077,13.77,19.21254,22.62905,177.6451,30.35782,-66.71047,-6.971669,17.74244,290.8924,339.2778,399.0166,147.2873,-59.7388,0.1709309,87.54846,0.387,0.366,0.451,22.64,24.6,26.55
2016-07-18 18:45:00,18.75,1078,13.1,18.64314,21.81177,112.1782,18.67018,-50.5733,-8.512796,17.06505,290.215,351.6479,393.7084,93.50803,-42.0605,0.1653188,51.44753,0.387,0.366,0.45,21.82,23.49,25.36
2016-07-18 19:00:00,19.00,1079,12.87,18.00542,20.87495,80.29119,11.56843,-45.23183,-8.03915,15.37747,288.5275,347.7266,384.9192,68.72276,-37.19268,0.1445293,31.53008,0.386,0.365,0.45,20.89,22.24,24.01
2016-07-18 19:15:00,19.25,1080,12.81,17.02866,19.18143,70.45494,13.62641,-71.55397,-4.524338,13.93573,287.0857,313.5961,380.6257,56.82853,-67.02963,0.1952981,-10.2011,0.386,0.365,0.45,19.21,20.32,22.01
2016-07-18 19:30:00,19.50,1081,13.76,16.07747,17.60724,157.0294,35.12279,-84.6153,-4.08767,14.40048,287.5504,303.0384,383.566,121.9067,-80.52763,0.2159,41.37902,0.386,0.365,0.45,17.63,18.52,20.1
2016-07-18 19:45:00,19.75,1082,13.3,15.60567,16.87732,146.467,28.80762,-77.54935,-6.127777,15.0817,288.2317,313.7869,385.2085,117.6594,-71.42157,0.1969164,46.23779,0.385,0.364,0.45,16.89,17.7,19.16
2016-07-18 20:00:00,20.00,1083,13.03,15.38869,16.62125,104.6741,20.62883,-75.24163,-9.421037,15.03196,288.1819,315.8248,381.6454,84.04523,-65.82059,0.1969954,18.22464,0.385,0.364,0.45,16.63,17.35,18.7
2016-07-18 20:15:00,20.25,1084,12.95,15.16117,16.29861,84.17834,16.52437,-68.29208,-9.321716,14.65369,287.8037,320.7252,379.6955,67.65398,-58.97037,0.1965822,8.683605,0.384,0.364,0.45,16.31,16.94,18.21
2016-07-18 20:30:00,20.50,1085,12.7,14.86136,15.83853,48.48206,9.195056,-63.90494,-11.10789,14.00754,287.1575,321.6325,374.4296,39.28701,-52.79705,0.1892646,-13.51004,0.384,0.364,0.45,15.85,16.38,17.57
2016-07-18 20:45:00,20.75,1086,12.72,14.45532,15.18248,47.54943,9.686802,-57.53328,-9.557518,13.44313,286.5931,324.9805,372.9562,37.86263,-47.97577,0.2040033,-10.11314,0.384,0.363,0.45,15.19,15.62,16.74
2016-07-18 21:00:00,21.00,1087,12.5,14.04731,14.54804,25.36626,5.975163,-43.12803,-9.220958,13.119,286.269,337.658,371.5651,19.3911,-33.90707,0.2286779,-14.51596,0.384,0.363,0.45,14.56,14.88,15.93
2016-07-18 21:15:00,21.25,1088,12.58,13.65791,13.92556,11.7722,2.08872,-39.04999,-8.643304,12.33816,285.4882,337.5999,368.0066,9.683478,-30.40668,0.1767844,-20.72321,0.383,0.363,0.45,13.94,14.16,15.14
2016-07-18 21:30:00,21.50,1089,12.56,13.17208,13.13065,1.197748,2.152769,-22.34638,-4.885111,11.47734,284.6273,349.7812,367.2425,-0.9550207,-17.46127,-0.2671353,-18.41629,0.383,0.363,0.45,13.14,13.26,14.17
2016-07-18 21:45:00,21.75,1090,12.47,12.57917,12.15866,-5.172448,2.446899,-15.04998,-2.387642,10.52766,283.6776,352.1354,364.7977,-7.619347,-12.66234,-0.4723172,-20.28168,0.383,0.362,0.45,12.17,12.18,12.99
2016-07-18 22:00:00,22.00,1091,12.53,11.94357,11.09023,-4.427627,2.042278,-8.54968,-0.4555399,9.49613,282.6461,353.3289,361.4231,-6.469905,-8.094141,-0.4643438,-14.56405,0.384,0.364,0.452,11.09,10.98,11.74
2016-07-18 22:15:00,22.25,1092,12.44,11.17574,9.827592,-2.672568,2.220747,-8.789431,2.319253,8.447335,281.5973,347.742,358.8507,-4.893315,-11.10868,-0.8675325,-16.002,0.386,0.366,0.454,9.83,9.53,10.22
2016-07-18 22:30:00,22.50,1093,12.52,10.42749,8.538976,-1.789287,0.9732488,-18.38063,2.870764,7.998725,281.1487,335.8842,357.1356,-2.762536,-21.2514,-0.544585,-24.01393,0.387,0.368,0.455,8.53,8.17,8.77
2016-07-18 22:45:00,22.75,1094,12.46,9.757353,7.29739,-3.204215,1.546347,-40.95217,0.4914578,7.354655,280.5046,310.0782,351.5219,-4.750562,-41.44363,-0.4836993,-46.19418,0.386,0.369,0.454,7.279,6.919,7.426
2016-07-18 23:00:00,23.00,1095,12.5,9.029636,5.953316,-3.365424,1.722947,-47.54033,-1.224082,6.536192,279.6862,299.411,345.7273,-5.088371,-46.31625,-0.5303136,-51.40462,0.385,0.369,0.453,5.925,5.514,5.948
2016-07-18 23:15:00,23.25,1096,12.38,8.269241,4.5818,-2.99102,1.632362,-45.75558,-1.93884,5.88266,279.0327,297.9636,341.7803,-4.623382,-43.81675,-0.5871532,-48.44012,0.385,0.37,0.453,4.543,4.06,4.423
2016-07-18 23:30:00,23.50,1097,12.49,7.605465,3.462352,-2.738501,5.36623,-41.252,1.98163,6.132765,279.2827,303.7041,346.9377,-8.104732,-43.23363,-1.982673,-51.33836,0.385,0.37,0.453,3.409,2.853,3.151
2016-07-18 23:45:00,23.75,1098,12.42,7.259083,2.949977,-2.367254,3.0903,-28.04625,1.062876,6.553547,279.7036,318.9901,348.0992,-5.457554,-29.10913,-1.479506,-34.56668,0.385,0.37,0.453,2.887,2.295,2.519
2016-07-19 00:00:00,0.00,1099,12.48,7.140666,2.834552,-1.879989,4.30892,-27.06921,1.708406,6.940224,280.0902,321.8907,350.6683,-6.188909,-28.77761,-2.425136,-34.96652,0.385,0.369,0.452,2.768,2.168,2.328
2016-07-19 00:15:00,0.25,1100,12.47,7.16365,2.994553,-3.285222,4.583927,-48.50465,-1.435117,7.223872,280.3738,301.8704,348.9399,-7.869149,-47.06953,-1.423097,-54.93868,0.385,0.369,0.452,2.929,2.304,2.398
2016-07-19 00:30:00,1.00,1101,12.39,7.177625,3.118651,-3.850239,5.366666,-55.74015,-2.236438,7.244596,280.3946,294.739,348.2427,-9.216906,-53.50371,-1.417608,-62.72062,0.384,0.369,0.452,3.055,2.384,2.416
2016-07-19 00:45:00,1.00,1102,12.46,7.198902,3.271111,-3.923373,5.392517,-60.33026,-4.50997,7.508203,280.6582,291.4685,347.2887,-9.315889,-55.82029,-1.398894,-65.13618,0.384,0.368,0.452,3.208,2.493,2.481
2016-07-19 01:00:00,1.00,1103,12.4,7.186309,3.296245,-3.814613,3.104959,-59.86572,-5.395966,6.938802,280.0888,289.0879,343.5577,-6.919573,-54.46976,-0.8325418,-61.38933,0.384,0.368,0.452,3.239,2.509,2.448
2016-07-19 01:15:00,1.00,1104,12.46,7.02055,3.02576,-2.831491,2.547301,-53.18442,-3.371036,6.291152,279.4411,292.552,342.3654,-5.378792,-49.81338,-1.060099,-55.19217,0.383,0.368,0.451,2.968,2.244,2.158
2016-07-19 01:30:00,1.00,1105,12.39,6.785412,2.648141,-2.053309,1.760284,-39.49827,-0.9911718,5.885776,279.0358,304.2359,342.743,-3.813594,-38.5071,-0.9612178,-42.32069,0.382,0.367,0.451,2.587,1.86,1.738
2016-07-19 01:45:00,1.00,1106,12.44,6.545293,2.278609,-1.955168,2.083045,-46.20605,-1.782042,5.608304,278.7583,296.1629,340.5869,-4.038213,-44.42401,-1.389736,-48.46222,0.382,0.367,0.451,2.215,1.481,1.322
